ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,state,ZCTA,Poverty Rate (%)
ZCTA5 00766,19682,10816,22547,72,00766,47.970905220206674
ZCTA5 00767,16295,17766,33446,72,00767,53.11845960652993
ZCTA5 00769,19700,17855,38773,72,00769,46.05008640033012
ZCTA5 00771,21175,15647,36819,72,00771,42.497080311795536
ZCTA5 00772,16107,10320,19529,72,00772,52.84448768498131
ZCTA5 00773,21850,7682,18050,72,00773,42.5595567867036
ZCTA5 00775,22667,465,1279,72,00775,36.356528537920255
ZCTA5 00777,19830,18622,39547,72,00777,47.088274711103246
ZCTA5 00778,35183,14101,46495,72,00778,30.327992257231962
ZCTA5 00780,21663,5132,10969,72,00780,46.78639803081411
ZCTA5 00782,13683,10316,17594,72,00782,58.633625099465725
ZCTA5 00783,14995,18420,32581,72,00783,56.53601792455726
ZCTA5 00784,17415,19004,38037,72,00784,49.96187922286195
ZCTA5 00786,37552,46,360,72,00786,12.777777777777777
ZCTA5 00791,20269,20620,48143,72,00791,42.83073343996012
ZCTA5 00794,17073,15733,28179,72,00794,55.832357429291314
ZCTA5 00795,20471,20501,43835,72,00795,46.768563932930306
ZCTA5 00901,21469,2437,5746,72,00901,42.41211277410372
ZCTA5 00906,106518,14,191,72,00906,7.329842931937172
ZCTA5 00907,36495,3900,15128,72,00907,25.780010576414597
ZCTA5 00909,19443,2013,4619,72,00909,43.58086165836762
ZCTA5 00911,35470,1763,7078,72,00911,24.908166148629558
ZCTA5 00912,22292,2279,5432,72,00912,41.955081001472756
ZCTA5 00913,6493,6391,7869,72,00913,81.21743550641759
ZCTA5 00915,12802,15168,24856,72,00915,61.02349533311876
ZCTA5 00917,15220,8950,17995,72,00917,49.73603778827452
ZCTA5 00918,25117,6192,15759,72,00918,39.29183323814963
ZCTA5 00920,25809,5205,16207,72,00920,32.11575245264392
ZCTA5 00921,18763,14238,31339,72,00921,45.4322090685727
ZCTA5 00923,14159,12760,23485,72,00923,54.332552693208434
ZCTA5 00924,18176,23511,47678,72,00924,49.31205168002013
ZCTA5 00925,11090,3919,6081,72,00925,64.44663706627199
ZCTA5 00926,35788,25359,92795,72,00926,27.32798103346085
ZCTA5 00927,35268,3389,13588,72,00927,24.941124521636738
ZCTA5 00934,-666666666,0,109,72,00934,0.0
ZCTA5 00936,-666666666,0,0,72,00936,
ZCTA5 00949,27229,24451,72647,72,00949,33.65727421641637
ZCTA5 00950,-666666666,0,0,72,00950,
ZCTA5 00951,-666666666,0,0,72,00951,
ZCTA5 00952,14991,4128,7598,72,00952,54.330086864964464
ZCTA5 00953,29019,20895,70992,72,00953,29.43289384719405
ZCTA5 00956,23127,24676,62747,72,00956,39.32618292508008
ZCTA5 00957,26667,12830,37951,72,00957,33.80675081025533
ZCTA5 00959,30466,13832,45977,72,00959,30.08460752115188
ZCTA5 00960,-666666666,40,40,72,00960,100.0
ZCTA5 00961,29511,9023,28318,72,00961,31.86312592697224
ZCTA5 00962,15497,10358,19061,72,00962,54.341325219033635
ZCTA5 00965,15276,3509,6701,72,00965,52.36531860916281
