ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,ZCTA,Poverty Rate (%)
ZCTA5 93669,-666666666,0,320,93669,0.0
ZCTA5 93701,23356,4659,10392,93701,44.83256351039261
ZCTA5 93664,106071,17,370,93664,4.594594594594595
ZCTA5 93218,26905,237,827,93218,28.657799274486095
ZCTA5 93260,41382,36,244,93260,14.754098360655737
ZCTA5 93612,46892,6138,35261,93612,17.407333881625593
ZCTA5 93621,-666666666,0,118,93621,0.0
ZCTA5 14031,85655,315,9903,14031,3.180854286579824
ZCTA5 67210,46661,2049,9524,67210,21.514069718605626
ZCTA5 67219,57025,2687,11884,67219,22.61023224503534
ZCTA5 67515,80313,0,45,67515,0.0
ZCTA5 67522,59286,93,1863,67522,4.99194847020934
ZCTA5 67867,54896,127,1687,67867,7.528156490812092
ZCTA5 67871,55568,375,4827,67871,7.768800497203232
ZCTA5 67220,66466,2078,12924,67220,16.078613432373878
ZCTA5 67226,69520,2055,20654,67226,9.949646557567542
ZCTA5 67230,125817,391,11121,67230,3.5158708749213203
ZCTA5 67601,55176,3417,22907,67601,14.916837647880559
ZCTA5 67635,52500,19,136,67635,13.970588235294118
ZCTA5 13420,90179,93,1064,13420,8.740601503759398
ZCTA5 13602,-666666666,28,580,13602,4.827586206896552
ZCTA5 13635,55167,152,1061,13635,14.326107445805844
ZCTA5 13642,40813,1512,8969,13642,16.858066674099675
ZCTA5 13654,49338,926,2590,13654,35.75289575289575
ZCTA5 13656,50667,407,2820,13656,14.432624113475176
ZCTA5 13659,57000,59,375,13659,15.733333333333333
ZCTA5 13660,59375,295,1600,13660,18.4375
ZCTA5 13669,53915,2771,13814,13669,20.059360069494716
ZCTA5 52060,51144,1348,7853,52060,17.165414491277218
ZCTA5 52064,52422,44,846,52064,5.200945626477541
ZCTA5 52077,59375,21,316,52077,6.645569620253164
ZCTA5 52144,70398,16,1026,52144,1.5594541910331383
ZCTA5 52159,61193,164,2389,52159,6.864796986186689
ZCTA5 52160,71011,39,985,52160,3.9593908629441623
ZCTA5 52041,73024,68,1886,52041,3.6055143160127257
ZCTA5 52163,48984,6,352,52163,1.7045454545454544
ZCTA5 52172,52597,519,5908,52172,8.784698713608666
ZCTA5 52201,87679,42,1541,52201,2.7255029201817003
ZCTA5 52206,95750,92,2644,52206,3.479576399394856
ZCTA5 52222,51518,55,531,52222,10.357815442561206
ZCTA5 52241,68038,2365,20335,52241,11.630194246373247
ZCTA5 52246,47888,6059,22540,52246,26.881100266193435
ZCTA5 52253,77108,159,2876,52253,5.528511821974965
ZCTA5 52301,59369,238,3416,52301,6.967213114754098
ZCTA5 52307,-666666666,0,74,52307,0.0
ZCTA5 52316,55500,115,1595,52316,7.210031347962382
ZCTA5 52066,43750,12,67,52066,17.91044776119403
ZCTA5 52166,48125,6,93,52166,6.451612903225806
ZCTA5 52211,56936,376,2390,52211,15.732217573221757
ZCTA5 52219,55625,29,165,52219,17.575757575757574
ZCTA5 52314,77778,552,4767,52314,11.57960981749528
ZCTA5 52359,58854,5,204,52359,2.450980392156863
ZCTA5 52560,-666666666,16,229,52560,6.986899563318777
ZCTA5 52318,71528,51,950,52318,5.36842105263158
ZCTA5 52338,108008,127,3672,52338,3.4586056644880174
ZCTA5 52342,47262,407,2809,52342,14.489142043431826
ZCTA5 52354,60938,23,315,52354,7.301587301587302
ZCTA5 52401,39361,406,1836,52401,22.113289760348582
ZCTA5 52501,45113,5030,28826,52501,17.449524734614585
ZCTA5 52306,63889,137,1390,52306,9.85611510791367
ZCTA5 52356,51429,136,2535,52356,5.3648915187376724
ZCTA5 52655,50938,419,3636,52655,11.523652365236524
ZCTA5 52212,71094,37,258,52212,14.34108527131783
ZCTA5 52313,75774,23,237,52313,9.70464135021097
ZCTA5 52355,58056,42,328,52355,12.804878048780488
ZCTA5 52158,37917,34,250,52158,13.600000000000001
ZCTA5 52345,91875,52,1459,52345,3.564084989718986
ZCTA5 52349,51650,1080,7554,52349,14.297061159650518
ZCTA5 60062,116579,1630,39144,60062,4.164111996730022
ZCTA5 60074,69416,4549,37632,60074,12.08811649659864
ZCTA5 60085,48435,12733,69620,60085,18.28928468830796
ZCTA5 60097,77401,914,10582,60097,8.637308637308637
ZCTA5 60104,63006,2070,18622,60104,11.115884437761787
ZCTA5 60113,79583,13,309,60113,4.207119741100324
ZCTA5 60120,67780,6536,50016,60120,13.067818298144593
ZCTA5 01079,32963,0,515,01079,0.0
ZCTA5 01086,-666666666,0,0,01086,
ZCTA5 01093,97083,22,295,01093,7.457627118644068
ZCTA5 01094,-666666666,143,428,01094,33.41121495327103
ZCTA5 01097,63750,27,93,01097,29.03225806451613
ZCTA5 01199,-666666666,0,0,01199,
